"Отметка времени","Я:","Возраст:","Есть ли у Вас комнатные растения?","Хотели бы Вы купить комнатное растение?","Хочу купить растение, почему?","Не хочу покупать растение, почему?","А может кактус? Прикольно выглядит, ухаживать не нужно","Сколько бы Вы максимум потратили на растение?"
"2018/03/29 5:26:45 PM GMT+3","Женщина","18-23","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 5:27:45 PM GMT+3","Мужчина","18-23","Да","Нет","","Их и так много","",""
"2018/03/29 5:27:52 PM GMT+3","Мужчина","16-17","Да","Да","Хороший подарок","","","600-900"
"2018/03/29 5:28:52 PM GMT+3","Мужчина","18-23","Да","Нет","","Просто","","1600-2000"
"2018/03/29 5:29:23 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 5:29:28 PM GMT+3","Мужчина","16-17","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 5:29:52 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 5:30:12 PM GMT+3","Мужчина","18-23","Да","Нет","","Не люблю растения","",""
"2018/03/29 5:32:09 PM GMT+3","Женщина","16-17","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","400-600"
"2018/03/29 5:32:40 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 5:33:05 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 5:33:18 PM GMT+3","Женщина","24-29","Да","Да","Хочу украсить свой интерьер, не хватает зелени","","","600-900"
"2018/03/29 5:34:02 PM GMT+3","Женщина","18-23","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 5:34:11 PM GMT+3","Женщина","24-29","Да","Да","Куплю кактус, прикольно выглядит и ухаживать не надо","","","1600-2000"
"2018/03/29 5:34:13 PM GMT+3","Мужчина","16-17","Да","Нет","","Не интересно","",""
"2018/03/29 5:35:44 PM GMT+3","Мужчина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","2000+"
"2018/03/29 5:35:59 PM GMT+3","Мужчина","18-23","Да","Нет","","Не интересно","",""
"2018/03/29 5:36:11 PM GMT+3","Женщина","18-23","Нет","Нет","","Не люблю растения","",""
"2018/03/29 5:36:18 PM GMT+3","Мужчина","18-23","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 5:37:15 PM GMT+3","Мужчина","18-23","Да","Да","Куплю кактус, прикольно выглядит и ухаживать не надо","","","400-600"
